Time	Artist	Title	Album	Track MBID	Artist MBID	Album MBID
1138820121000	Bright Eyes	carrots/diamonds	Live At  Nightclub930 Washington DC 0129		78f797e3-4913-4026-aad0-1cd858bd735b	
1138820386000	The Shins	Saint Simon	KCRW Music Morning Becomes Eclectic Appearance 2004	1946a404-0a96-4dc1-9b98-8065739d002e	6c8b9855-ba8b-48f9-ac1d-42167f7f7b18	
1138820685000	Weezer	Let's Sew Our Pants Together	B-Sides (disc 1)	b3625cb6-2477-4050-ab8c-83a827874d6f	6fe07aa5-fec0-4eca-a456-f29bff451b04	
1138820899000	Our Lady Peace	Automatic Flowers	Clumsy	2adced96-013c-468b-be59-94710ec1d200	78661da3-894c-4947-a34b-fb7edf585d9b	60e2f500-b11c-4275-b9a8-81b9adca2ee7
1168895445000	The Decemberists	A Cautionary Song	2004-01-15: San Francisco, CA, USA (disc 2)	00dfda3c-ee20-4081-a1d7-3932be83544c	97b1142f-c71e-4971-8736-4a8ceaf6b4c3	6d22bcb8-e632-4553-86ac-a2c53db16e05
1168895739000	Spoon	Claws Tracking	Telephone/Soft Effects	368a7673-eb78-43a2-8442-a28f5ba271c9	0db1ad0b-3ac1-4425-b10a-3142e795895c	
1168895824000	Broken Social Scene	Finish Your Collapse and Stay for Breakfast	Broken Social Scene	ceb25549-65ac-4435-8b07-782ef1434731	2eada8f8-056a-4093-bbc2-004909ce743b	2d71439b-d7ad-42a0-b8cb-0d53e4d36e51
1168911136000	Incubus	Quicksand	Light Grenades	aff0cf38-3f68-4463-bd19-89ccc84e2215	308aea66-5205-4344-b700-319a8dccaa43	be313771-d713-4bb4-90c0-acbca6e4a169
1168911270000	Incubus	A Kiss To Send Us Off	Light Grenades	a62ebd47-2913-434a-aa62-5a01b45ee6e6	308aea66-5205-4344-b700-319a8dccaa43	be313771-d713-4bb4-90c0-acbca6e4a169
1168911527000	Incubus	Dig	Light Grenades	eb471227-879a-486c-81d2-f8e3850c15ac	308aea66-5205-4344-b700-319a8dccaa43	be313771-d713-4bb4-90c0-acbca6e4a169
1168911785000	Incubus	Anna Molly	Light Grenades	bf6a592b-fbda-443f-90b6-fa35717fe004	308aea66-5205-4344-b700-319a8dccaa43	be313771-d713-4bb4-90c0-acbca6e4a169
1168912011000	Incubus	Love Hurts	Light Grenades	db66d389-1f0b-4f4e-80fe-4cd99a3da6dd	308aea66-5205-4344-b700-319a8dccaa43	be313771-d713-4bb4-90c0-acbca6e4a169
1168912248000	Incubus	Light Grenades	Light Grenades	2d8b8b27-c1de-437e-b138-3c1c67f9cb10	308aea66-5205-4344-b700-319a8dccaa43	be313771-d713-4bb4-90c0-acbca6e4a169
1168912385000	Sick Puppies	All The Same	Dressed Up As Life	96012c07-6060-48aa-b311-7612c20130c7	86f78011-5087-48d2-8922-c381d2eb0c40	d4154364-8616-4603-b823-406e01443884
1168912592000	Teddy Bears Feat Iggy Pop	Punkrocker				
1168912806000	Finger Eleven	Paralyzer	Them vs. You vs. Me	202d7dab-5142-4c24-aa6f-b94236f463f9	0b76f632-25fa-4681-9862-86499c28afd3	73230b95-9925-4675-b6ea-40ac2a28a95a
1168913011000	Modest Mouse	Dashboard	We Were Dead Before The Ship Even Sank	c9861a3b-68d9-4778-b977-3955b87b1df3	a96ac800-bfcb-412a-8a63-0a98df600700	d63d427d-499c-4eb4-996e-535e36013766
1168913255000	The Kooks	Naïve	Inside In/Inside Out	b1681817-5700-445c-abc4-62d2b2e33c77	c41c6a32-cd7e-4cce-8859-559efdd457b3	12b1ac50-a26c-3603-b560-34e03e957334
1168913458000	The Colour	Save Yourself	Between Earth & Sky	ecd3e233-88bb-4e34-8260-6aafa77e1631	ba1bc259-5af5-4b46-a377-db928a4e1731	1fe15ddf-0bd6-485a-bfb3-33021445c046
1168913689000	The Black Keys	Your Touch	Magic Potion	fcfd34d9-64e5-4435-8879-ac072230d21b	d15721d8-56b4-453d-b506-fc915b14cba2	9bfb8987-a619-399c-876d-0184b7932a31
1168913851000	Billy Talent	Fallen Leaves	II	7c134ef6-d8aa-475e-af20-1a10d87a542f	fd429857-5ace-4609-ae54-1502c3bdac11	
1168914051000	Bloc Party	The Prayer	A Weekend In The City	44ef3905-c731-4e94-8fe0-a93654bea94c	8c538f11-c141-4588-8ecb-931083524186	5d3c14bc-570a-406b-b2b4-ac7c1174f4af
1168914274000	Jet	Stand Up	Alternative Times, Volume 80		1b34d22a-9f81-4a8a-83ba-00373e0cc6c4	5efebce9-6d9e-4dba-9979-66355c5aed30
1168914493000	Papa Roach	Forever	The Paramour Sessions	042c3b4e-7565-4820-90a2-96fabe4ec478	c5eb9407-caeb-4303-b383-6929aa94021c	31f01d50-38fb-4c10-a222-716bc9136236
1168914816000	The Tragically Hip	The Lonely End Of The Rink	World Container	a6514da8-c03f-476c-804c-e69407734a37	e86ab653-bec8-46f3-b4b6-a1a866919ef6	bfc9e405-bc45-4fad-b412-832914d4d2e4
1168915047000	Rise Against	Prayer of the Refugee	The Sufferer & The Witness	00f44748-8f44-441b-a59b-541300635b9d	606bf117-494f-4864-891f-09d63ff6aa4b	51dcb278-fd58-4cfe-84ef-981a5739224f
1168915245000	Wolfmother	White Unicorn	Wolfmother	af63ca5b-ba46-4662-b51c-d89519c3f2c6	f0c8f75f-8736-4b1d-b312-9349fcff321d	246dfd52-4e1e-4d9a-bafc-4e4e9fcede12
1168915446000	Sirens Sister	Hold On	Alternative Times, Volume 80	f8552fc8-4db8-4bc6-b125-ebc629eab212	c9175b35-e05e-43df-a467-f03fe0c39bbb	5efebce9-6d9e-4dba-9979-66355c5aed30
1168915645000	Aqualung	Pressure Suit	Memory Man	44dba5d8-193e-4f80-a64c-08f3294b03be	1b3e92d4-1c68-412d-a92d-1172f24f7de3	389cd05b-7bed-4d1f-ac93-273b23936847
1168915888000	NEEDTOBREATHE	Shine On	Alternative Times, Volume 80	41ba6700-160f-4c82-bf7f-2332c01d85ff	277855d1-05d9-4f2b-a6ca-7fc62b670763	5efebce9-6d9e-4dba-9979-66355c5aed30
1168916139000	Sick Puppies	All The Same	Dressed Up As Life	96012c07-6060-48aa-b311-7612c20130c7	86f78011-5087-48d2-8922-c381d2eb0c40	d4154364-8616-4603-b823-406e01443884
1168916347000	Teddy Bears Feat Iggy Pop	Punkrocker				
1168919426000	The Kooks	Naïve	Inside In/Inside Out	b1681817-5700-445c-abc4-62d2b2e33c77	c41c6a32-cd7e-4cce-8859-559efdd457b3	12b1ac50-a26c-3603-b560-34e03e957334
1168919635000	Billy Talent	Fallen Leaves	II	7c134ef6-d8aa-475e-af20-1a10d87a542f	fd429857-5ace-4609-ae54-1502c3bdac11	
1168919834000	Bloc Party	The Prayer	A Weekend In The City	44ef3905-c731-4e94-8fe0-a93654bea94c	8c538f11-c141-4588-8ecb-931083524186	5d3c14bc-570a-406b-b2b4-ac7c1174f4af
1168920082000	Boys Like Girls	The Great Escape	Boys Like Girls	5b2e28b8-832d-47af-807c-b56cf005890c	d6e65033-b56a-49df-8744-6fc3ffd75edd	61710908-1bb8-4fd9-99b0-f9e0ad6f7d7f
1168920291000	Boys Like Girls	Five Minutes To Midnight	Boys Like Girls	e2972fca-c96f-477f-8a77-b180ee4350ca	d6e65033-b56a-49df-8744-6fc3ffd75edd	61710908-1bb8-4fd9-99b0-f9e0ad6f7d7f
1168920518000	Boys Like Girls	On Top Of The World	Boys Like Girls	93ee704d-6cf0-4ba5-8134-63f0916c0fba	d6e65033-b56a-49df-8744-6fc3ffd75edd	61710908-1bb8-4fd9-99b0-f9e0ad6f7d7f
1168920735000	Boys Like Girls	Hero/Heroine	Boys Like Girls	8fd47b42-b76c-4e22-8d1e-c0ecc75f8dca	d6e65033-b56a-49df-8744-6fc3ffd75edd	61710908-1bb8-4fd9-99b0-f9e0ad6f7d7f
1168920967000	Boys Like Girls	Thunder	Boys Like Girls	c7ed8a34-a2e5-44c6-bd11-1d7928dabd6b	d6e65033-b56a-49df-8744-6fc3ffd75edd	61710908-1bb8-4fd9-99b0-f9e0ad6f7d7f
